url_path,views_total,views_unique
/karthikChakravartula/TwoOptionRadioButton,16,5
/karthikChakravartula/TwoOptionRadioButton/tree/main/RadioButton,12,2
/karthikChakravartula/TwoOptionRadioButton/tree/github-repo-stats/karthikChakravartula/TwoOptionRadioButton,5,1
/karthikChakravartula/TwoOptionRadioButton/blob/github-repo-stats/karthikChakravartula/TwoOptionRadioButton/ghrs-data/views_clones_aggregate.csv,4,1
/karthikChakravartula/TwoOptionRadioButton/blob/github-repo-stats/karthikChakravartula/TwoOptionRadioButton/latest-report/report.pdf,4,1
/karthikChakravartula/TwoOptionRadioButton/tree/github-repo-stats,4,1
/karthikChakravartula/TwoOptionRadioButton/tree/github-repo-stats/karthikChakravartula/TwoOptionRadioButton/latest-report,4,1
/karthikChakravartula/TwoOptionRadioButton/tree/main/RadioButton/.github/workflows,4,1
/karthikChakravartula/TwoOptionRadioButton/pulse,3,2
/karthikChakravartula/TwoOptionRadioButton/actions/new,3,1
